MARCA,ELEMENTOS TEXTUAIS,ELEMENTOS NÃO-TEXTUAIS,DATA,LINK,REDE,SEGMENTO
PETROBRAS,"Estamos sempre em movimento e em constante evolução. 2019 foi o ano da guinada em direção a uma companhia ainda mais forte e mais eficiente. Veja os principais acontecimentos desse ano, que foi marcado pelo início de uma transformação para nos tornarmos uma empresa ainda melhor.",VIDEO,27/12/19,https://twitter.com/petrobras/status/1210536944494616577,TWITTER,ENERGIA
PETROBRAS,"Final de ano é hora de expectativas renovadas e planos para o futuro. As crianças pensam longe e sonham alto. E a gente quer dar mais asas à imaginação, contribuindo com a #NossaEnergia para transformar realidades desde cedo.",VIDEO,23/12/19,https://twitter.com/petrobras/status/1209131282904616967,TWITTER,ENERGIA
PETROBRAS,"Ter o talento reconhecido por inovações que serão um legado para a indústria de petróleo e gás não tem preço. Recebemos, em 2019, o Prêmio OTC Brasil por tecnologias pioneiras que desenvolvemos no bloco de Libra, no pré-sal da bacia de Santos. Relembre conosco!",LINK COM FOTO,23/12/19,https://twitter.com/petrobras/status/1209098711739117568,TWITTER,ENERGIA
PETROBRAS,"Em 2019, contribuímos para a limpeza das praias atingidas pelo derramamento de óleo com uma megaoperação. Reviva a história de Luiz Henrique Ramos, que reforça nosso compromisso com o respeito à vida, às pessoas e ao meio ambiente.",LINK COM FOTO,20/12/19,https://twitter.com/petrobras/status/1208041693595029506,TWITTER,ENERGIA
PETROBRAS,"O mundo nano, invisível a olho nu, é tema da nossa série Aceleração da Inovação. Desta vez, falamos sobre como materiais da espessura de um átomo, como o #grafeno, estão revolucionando a forma como trabalhamos. Confira: https://petrobr.as/nanotec-t",IMAGEM FIXA,20/12/19,https://twitter.com/petrobras/status/1208020244993851394,TWITTER,ENERGIA
PETROBRAS,"O mundo está em constante transformação e nosso negócio precisa acompanhar esse movimento.
Conheça os novos caminhos que estamos trilhando.",VIDEO,19/12/19,https://twitter.com/petrobras/status/1207785932084121600,TWITTER,ENERGIA
PETROBRAS,"Assinamos parceria com o @cprm_oficial e com a @ANPgovbr para o financiamento de projetos de Pesquisa, Desenvolvimento e Inovação (PD&I). ""A pesquisa geológica é prioritária para a companhia"", reforçou nosso presidente, Roberto Castello Branco.",LINK COM FOTO,18/12/19,https://twitter.com/petrobras/status/1207383818178424832,TWITTER,ENERGIA
PETROBRAS,Inteligência artificial. Robótica. Supercomputadores. Realidade virtual. As inovações tecnológicas estão revolucionando a forma como trabalhamos e nos tornando ainda melhores para você.,LINK COM VIDEO,18/12/19,https://twitter.com/petrobras/status/1207361209218916353,TWITTER,ENERGIA
PETROBRAS,"Em 2019, colocamos em operação quatro plataformas no pré-sal: P-67, P-68, P-76 e P-77. Diariamente, elas vêm contribuindo para a quebra de novos recordes de produção. Reveja o vídeo que mostra um momento emocionante do início das operações da P-68:",LINK COM FOTO,18/12/19,https://twitter.com/petrobras/status/1207255837951037440,TWITTER,ENERGIA
PETROBRAS,"Ao longo da Semana Petrobras em Compliance, especialistas do setor acadêmico e empresarial estiveram em nossa sede para trocar experiências sobre o combate à corrupção e conhecer nossos esforços para fortalecer a cultura de integridade na companhia. Saiba mais:
",LINK COM FOTO,17/12/19,https://twitter.com/petrobras/status/1207049779936681985,TWITTER,ENERGIA
PETROBRAS,"Transformar o próprio futuro e ter reconhecimento internacional. Para @anamarcela92, maratonista aquática, e Isaquias Queiroz, canoísta, dedicação, treino e energia são fundamentais para a conquista desses objetivos. Leia mais: https://petrobr.as/energia-para-chegar-la-tw … #TimePetrobras #NossaEnergia
",VIDEO ,17/12/19,https://twitter.com/petrobras/status/1206617900779479046,TWITTER,ENERGIA
PETROBRAS,"Recebemos o SPE Award, prêmio concedido pela @SPE_Brazil. No total, 12 empregados da companhia receberam reconhecimento em três categorias de premiação. Leia mais sobre a nossa participação:",LINK COM FOTO,16/12/19,https://twitter.com/petrobras/status/1206592670069592066,TWITTER,ENERGIA
PETROBRAS,"Em parceria com o Projeto Tamar, estamos celebrando, neste fim de semana, os 40 milhões de tartarugas marinhas protegidas e devolvidas à natureza. Conheça a história desse projeto que patrocinamos há quase quatro décadas: https://petrobr.as/40milhoes-tamar-tw …",VIDEO SEM AUDIO,13/12/19,https://twitter.com/petrobras/status/1205552399202619399,TWITTER,ENERGIA
PETROBRAS,"Encerra-se hoje, em nossa sede, a Semana Petrobras em #Compliance. Saiba como estamos trabalhando para consolidar internamente uma cultura de ética e integridade:",LINK COM FOTO,13/12/19,https://twitter.com/petrobras/status/1205532433514401792,TWITTER,ENERGIA
PETROBRAS,"Conheça as sete empresas vencedoras do Conexões para Inovação - Módulo Startups! As soluções serão aprimoradas por mentorias técnicas, prestadas por nossos profissionais, e de negócios, pelo @sebrae, e vão acelerar a nossa jornada de inovação:",LINK COM VIDEO GIF,13/12/19,https://twitter.com/petrobras/status/1205494696073715712,TWITTER,ENERGIA
PETROBRAS,"Dando continuidade à Semana Petrobras em #Compliance, Patrícia Marques, do Conselho de Compliance da TechnipFMC, esteve em nossa sede para falar a respeito de boas práticas de ética e integridade nas empresas. Leia mais sobre o evento:",LINK COM FOTO,11/12/19,https://twitter.com/petrobras/status/1204883963354996736,TWITTER,ENERGIA
PETROBRAS,"Quer ganhar uma bolsa de pesquisa e descobrir como uma grande empresa funciona na prática? Então escute o recado que o Carlos Alexandre Gama, nosso especialista em Inovação e Transformação Digital, tem para você. #ConexõesParaInovação",VIDEO,11/12/19,https://twitter.com/petrobras/status/1204764003332960256,TWITTER,ENERGIA
PETROBRAS,"Estamos desenvolvendo diversas ações para que a cultura de integridade se torne cada vez mais presente em nosso dia a dia. Uma delas é a Semana Petrobras em Compliance, iniciativa que reúne influentes do mercado para discutir temas relacionados a #compliance, ética e governança.",IMAGEM FIXA,10/12/19,https://twitter.com/petrobras/status/1204520973241901056,TWITTER,ENERGIA
PETROBRAS,"Neste terceiro episódio da série #ConexõesParaInovação, falamos sobre as dificuldades da jornada do empreendedor e de como a parceria com grandes empresas pode ser útil para superá-las. Saiba mais:
",LINK COM FOTO,10/12/19,https://twitter.com/petrobras/status/1204515928773464066,TWITTER,ENERGIA
PETROBRAS,"A importância do combate à corrupção e avanços em nosso sistema de integridade foram os destaques da abertura do 6º Petrobras em Compliance, que contou com nosso presidente, Roberto Castello Branco. Leia mais: ",LINK COM FOTO,10/12/19,https://twitter.com/petrobras/status/1204417038388617216,TWITTER,ENERGIA
